obs_id,source_dataset,source_group_id,area,reference_time,timestamp_source,feature_count,aoi_buffer_km,aoi_west,aoi_south,aoi_east,aoi_north
marida_51PTS_2019-05-18,MARIDA,51PTS/2019-05-18,51PTS,2019-05-18T02:16:09Z,catalogue,4,30.0,120.55915900901023,14.278765713638155,121.16462961303142,14.86505284634532
marida_16PCC_2020-09-18,MARIDA,16PCC/2020-09-18,16PCC,2020-09-18T16:08:39Z,catalogue,79,30.0,-89.00791569797673,15.420044665976238,-87.5789101772353,16.424479927854403
marida_16PDC_2020-09-18,MARIDA,16PDC/2020-09-18,16PDC,2020-09-18T16:08:39Z,catalogue,30,30.0,-88.21521306513152,15.58162894057788,-87.29519769056276,16.514410934575267
marida_18QYF_2020-03-19,MARIDA,18QYF/2020-03-19,18QYF,2020-03-19T15:26:41Z,catalogue,6,30.0,-72.8323967957257,18.27577260118829,-72.09229261724646,19.023724671109115
marida_16PCC_2018-09-19,MARIDA,16PCC/2018-09-19,16PCC,2018-09-19T16:09:29Z,catalogue,38,30.0,-88.67932118630156,15.41339734763452,-87.7823737421857,16.277063479116407
marida_16PDC_2018-09-19,MARIDA,16PDC/2018-09-19,16PDC,2018-09-19T16:09:29Z,catalogue,26,30.0,-88.14407145879967,15.616422407791138,-87.15198970590268,16.411658058576737
marida_18QYF_2020-10-20,MARIDA,18QYF/2020-10-20,18QYF,2020-10-20T15:26:39Z,catalogue,4,30.0,-72.92936207717048,18.40624009472405,-72.28716527758603,19.03922974072818
marida_30VWH_2018-04-20,MARIDA,30VWH/2018-04-20,30VWH,2018-04-20T11:21:21Z,catalogue,10,30.0,-3.0916771517868495,55.88277008742356,-1.8316652509012754,56.6759945638542
marida_16PCC_2017-02-21,MARIDA,16PCC/2017-02-21,16PCC,2017-02-21T16:13:41Z,catalogue,25,30.0,-88.99828576409824,15.436349379632823,-87.62527367600113,16.255066250263045
marida_16PCC_2018-02-21,MARIDA,16PCC/2018-02-21,16PCC,2018-02-21T16:13:39Z,catalogue,13,30.0,-88.60607258960503,15.427338855980462,-87.78238175839385,16.17492831758835
marida_18QYF_2020-12-22,MARIDA,18QYF/2020-12-22,18QYF,2020-12-22T15:36:19Z,catalogue,2,30.0,-73.11825528096993,18.569103211565835,-72.49921343323014,19.132386933789796
marida_18QWF_2020-03-22,MARIDA,18QWF/2020-03-22,18QWF,2020-03-22T15:36:21Z,catalogue,6,30.0,-74.59566810847481,17.816422379138885,-73.90676930853418,18.40246717662286
marida_18QYF_2021-01-23,MARIDA,18QYF/2021-01-23,18QYF,2021-01-23T15:26:41Z,catalogue,3,30.0,-73.16094683322115,18.22013207215569,-72.49491174223697,18.829918786848076
marida_16PCC_2020-09-23,MARIDA,16PCC/2020-09-23,16PCC,2020-09-23T16:10:11Z,catalogue,56,30.0,-88.98317144600617,15.418594736601083,-87.62583427310246,16.385414900050385
marida_16PDC_2018-10-24,MARIDA,16PDC/2018-10-24,16PDC,2018-10-24T16:13:31Z,catalogue,22,30.0,-87.66862529456117,15.510012501189664,-86.70101982505304,16.211548205414488
marida_48PZC_2019-11-24,MARIDA,48PZC/2019-11-24,48PZC,2019-11-24T03:10:41Z,catalogue,9,30.0,108.08995715199609,15.575200580569357,108.77031675852164,16.18599324805109
marida_18QYF_2020-03-24,MARIDA,18QYF/2020-03-24,18QYF,2020-03-24T15:26:39Z,catalogue,2,30.0,-73.12906737168358,18.155642876777886,-72.53543439981976,18.741754430469108
marida_36JUN_2019-04-24,MARIDA,36JUN/2019-04-24,36JUN,2019-04-24T07:36:19Z,catalogue,21,30.0,30.739805072597687,-30.167131256164215,31.62929856566948,-29.397736983462092
marida_16PCC_2020-08-24,MARIDA,16PCC/2020-08-24,16PCC,2020-08-24T16:09:11Z,catalogue,29,30.0,-88.57407998512478,15.444856997037268,-87.60610749585878,16.37919385297826
marida_48MXU_2019-05-25,MARIDA,48MXU/2019-05-25,48MXU,2019-05-25T02:55:51Z,catalogue,5,30.0,105.70522786164302,-6.17011202183607,106.31705785525205,-5.560929326351743
marida_16PCC_2018-02-26,MARIDA,16PCC/2018-02-26,16PCC,2018-02-26T16:13:41Z,catalogue,24,30.0,-88.99828141759606,15.481845519673744,-87.67256236109466,16.275951477555537
marida_16PCC_2019-01-27,MARIDA,16PCC/2019-01-27,16PCC,2019-01-27T16:15:39Z,catalogue,31,30.0,-88.70280563239048,15.425402896348986,-87.78257225418079,16.312333376804624
marida_16QED_2019-01-27,MARIDA,16QED/2019-01-27,16QED,2019-01-27T16:15:39Z,catalogue,19,30.0,-86.93953933272977,15.98193151520465,-86.20942935759209,16.6604201129641
marida_16PCC_2020-09-28,MARIDA,16PCC/2020-09-28,16PCC,2020-09-28T16:09:49Z,catalogue,16,30.0,-88.99317464767664,15.433704116539841,-88.28845731301371,16.158373308289764
marida_16PDC_2020-09-28,MARIDA,16PDC/2020-09-28,16PDC,2020-09-28T16:09:49Z,catalogue,30,30.0,-88.12033502989732,15.616631072445491,-86.98468575387243,16.526564282806053
marida_16PEC_2015-11-29,MARIDA,16PEC/2015-11-29,16PEC,2015-11-29T16:16:22Z,catalogue,9,30.0,-87.05579818523492,15.765907623235464,-86.03939690571751,16.375672544401436
marida_18QYF_2020-11-29,MARIDA,18QYF/2020-11-29,18QYF,2020-11-29T15:26:39Z,catalogue,8,30.0,-73.05260117156757,18.28438026775529,-72.18188737632832,19.15635774201786
marida_18QYF_2020-12-29,MARIDA,18QYF/2020-12-29,18QYF,2020-12-29T15:26:39Z,catalogue,13,30.0,-72.92665441133552,18.414138899633645,-72.1877111654643,19.048411846187207
marida_51RVQ_2017-08-29,MARIDA,51RVQ/2017-08-29,51RVQ,2017-08-29T02:25:49Z,catalogue,7,30.0,122.33063081547832,30.56782151319128,123.38782925865151,31.22339758433958
marida_18QYF_2021-01-03,MARIDA,18QYF/2021-01-03,18QYF,2021-01-03T15:26:41Z,catalogue,5,30.0,-72.99997931410972,18.52057325774453,-72.35704617791419,19.153544521771277
marida_16PDC_2016-11-03,MARIDA,16PDC/2016-11-03,16PDC,2016-11-03T16:14:32Z,catalogue,45,30.0,-87.7290962206553,15.505058106930921,-86.66582529923707,16.41502594952044
marida_16PDC_2018-11-03,MARIDA,16PDC/2018-11-03,16PDC,2018-11-03T16:14:31Z,catalogue,29,30.0,-87.88662541653615,15.495906252688863,-86.65532978871016,16.35951780776982
marida_16PCC_2017-08-30,MARIDA,16PCC/2017-08-30,16PCC,2017-08-30T16:09:01Z,catalogue,23,30.0,-88.69926225115887,15.435198827060422,-87.85103079123297,16.11415234940613
marida_16PCC_2018-08-30,MARIDA,16PCC/2018-08-30,16PCC,2018-08-30T16:08:19Z,catalogue,46,30.0,-88.9944093306455,15.457917400456523,-87.78910353984975,16.32478044665864
marida_18QYF_2020-12-04,MARIDA,18QYF/2020-12-04,18QYF,2020-12-04T15:26:41Z,catalogue,9,30.0,-73.0181461769482,18.475170280876764,-72.2540135475134,19.10909326797683
marida_50LLR_2018-03-04,MARIDA,50LLR/2018-03-04,50LLR,2018-03-04T02:15:59Z,catalogue,26,30.0,114.91314823657177,-9.35541258776083,116.05268680232034,-8.398207345008178
marida_16PCC_2016-09-04,MARIDA,16PCC/2016-09-04,16PCC,2016-09-04T16:13:42Z,catalogue,48,30.0,-88.70967414863163,15.455072416862608,-87.71701545919103,16.342673023067363
marida_16PCC_2019-09-04,MARIDA,16PCC/2019-09-04,16PCC,2019-09-04T16:08:29Z,catalogue,33,30.0,-88.75863700318718,15.464831642212344,-87.64577879111988,16.422330637617485
marida_48MYU_2017-12-06,MARIDA,48MYU/2017-12-06,48MYU,2017-12-06T03:00:59Z,catalogue,2,30.0,106.57674634207596,-6.279836778584312,107.16562704746244,-5.716940365005332
marida_48MXU_2018-12-06,MARIDA,48MXU/2018-12-06,48MXU,2018-12-06T03:01:01Z,catalogue,34,30.0,105.63198164369601,-6.331647542467543,107.13829599129815,-5.516636071469265
marida_52SDD_2018-10-07,MARIDA,52SDD/2018-10-07,52SDD,2018-10-07T12:00:00Z,nominal_date_noon,16,30.0,128.54889244266232,34.603869879583826,129.4037323573255,35.3281998162761
marida_18QYG_2020-03-07,MARIDA,18QYG/2020-03-07,18QYG,2020-03-07T12:00:00Z,nominal_date_noon,18,30.0,-73.20446484484968,18.864281716310675,-72.43952114124637,19.61341350581909
marida_16PEC_2018-03-08,MARIDA,16PEC/2018-03-08,16PEC,2018-03-08T12:00:00Z,nominal_date_noon,9,30.0,-87.10381100690624,15.894311642371544,-86.06285171757402,16.550385896174937
marida_16QED_2018-03-08,MARIDA,16QED/2018-03-08,16QED,2018-03-08T12:00:00Z,nominal_date_noon,19,30.0,-86.96134710844277,15.972237427503405,-85.8479711322903,16.79022858181322
marida_16PEC_2017-10-09,MARIDA,16PEC/2017-10-09,16PEC,2017-10-09T12:00:00Z,nominal_date_noon,46,30.0,-87.15469688242257,15.503781752356959,-85.85120450054686,16.39056443247488
nasa_planetscope_20160928_153233_0e16,NASA_PlanetScope,20160928_153233_0e16,NASA Marine Debris,2016-09-28T15:32:33Z,filename_exact,23,30.0,-87.90752857083109,15.628146291904729,-87.23651439791891,16.246968730750165
nasa_planetscope_20161008_153104_0e3a,NASA_PlanetScope,20161008_153104_0e3a,NASA Marine Debris,2016-10-08T15:31:04Z,filename_exact,23,30.0,-87.95701751426795,15.649277408865064,-87.31336822791955,16.27337184299868
nasa_planetscope_20161008_153105_0e3a,NASA_PlanetScope,20161008_153105_0e3a,NASA Marine Debris,2016-10-08T15:31:05Z,filename_exact,35,30.0,-87.4407494181284,15.733779624763958,-86.6595923787466,16.342003592438537
nasa_planetscope_20170227_203307_0c37,NASA_PlanetScope,20170227_203307_0c37,NASA Marine Debris,2017-02-27T20:33:07Z,filename_exact,1,30.0,-88.17215743268305,16.329549616732024,-87.60359940325445,16.874406003915485
nasa_planetscope_20170227_203600_1,NASA_PlanetScope,20170227_203600_1,NASA Marine Debris,2017-02-27T20:36:00Z,filename_exact,4,30.0,-87.5119601668675,15.607012955029402,-86.868532997195,16.17302149759974
nasa_planetscope_20170227_203601_0c46,NASA_PlanetScope,20170227_203601_0c46,NASA Marine Debris,2017-02-27T20:36:01Z,filename_exact,3,30.0,-87.43505587052402,15.612296497220793,-86.86303983260098,16.16773851013945
nasa_planetscope_20170322_153132_0e0f,NASA_PlanetScope,20170322_153132_0e0f,NASA Marine Debris,2017-03-22T15:31:32Z,filename_exact,35,30.0,-86.2488121772458,15.770738118862404,-85.5553870415042,16.400058121152117
nasa_planetscope_20170323_152750_0e20,NASA_PlanetScope,20170323_152750_0e20,NASA Marine Debris,2017-03-23T15:27:50Z,filename_exact,43,30.0,-85.3643907561948,15.79185418239922,-84.6600233063052,16.357838329266173
nasa_planetscope_20170326_153233_0e26,NASA_PlanetScope,20170326_153233_0e26,NASA Marine Debris,2017-03-26T15:32:33Z,filename_exact,28,30.0,-86.58432225556588,16.087242641794415,-85.95046778349662,16.67953604249511
nasa_planetscope_20170326_153234_0e26,NASA_PlanetScope,20170326_153234_0e26,NASA Marine Debris,2017-03-26T15:32:34Z,filename_exact,49,30.0,-86.639157068329,16.002891165647615,-85.9176056269835,16.653187232725756
nasa_planetscope_20170326_153239_0e26,NASA_PlanetScope,20170326_153239_0e26,NASA Marine Debris,2017-03-26T15:32:39Z,filename_exact,32,30.0,-86.78704925521293,15.712657413856142,-86.15423492447457,16.33672506656747
nasa_planetscope_20170326_154021_0e2f,NASA_PlanetScope,20170326_154021_0e2f,NASA Marine Debris,2017-03-26T15:40:21Z,filename_exact,33,30.0,-88.31495657200425,16.292696399257515,-87.57615670924575,16.879670028641545
nasa_planetscope_20170826_154046_100c,NASA_PlanetScope,20170826_154046_100c,NASA Marine Debris,2017-08-26T15:40:46Z,filename_exact,8,30.0,-88.16597691337944,15.839357130102101,-87.58780726630806,16.41061166439338
nasa_planetscope_20170826_154047_100c,NASA_PlanetScope,20170826_154047_100c,NASA Marine Debris,2017-08-26T15:40:47Z,filename_exact,7,30.0,-88.1604597266601,15.828801901184526,-87.5768449608399,16.384226752229686
nasa_planetscope_20170927_154610_0e14,NASA_PlanetScope,20170927_154610_0e14,NASA Marine Debris,2017-09-27T15:46:10Z,filename_exact,19,30.0,-88.3633831606111,15.5753087931561,-87.7529498472014,16.188869627099788
nasa_planetscope_20170927_154611_0e14,NASA_PlanetScope,20170927_154611_0e14,NASA Marine Debris,2017-09-27T15:46:11Z,filename_exact,12,30.0,-88.37430180321874,15.533028832295825,-87.74203120459376,16.125469619116043
nasa_planetscope_20171007_161314_1,NASA_PlanetScope,20171007_161314_1,NASA Marine Debris,2017-10-07T16:13:14Z,filename_exact,6,30.0,-88.16041282432768,15.802411374203814,-87.56590553504732,16.347281978206063
nasa_planetscope_20171007_161315_0c65,NASA_PlanetScope,20171007_161315_0c65,NASA Marine Debris,2017-10-07T16:13:15Z,filename_exact,12,30.0,-88.13844389514922,15.802411374203814,-87.51646333141328,16.352560223828963
nasa_planetscope_20171015_153720_100c,NASA_PlanetScope,20171015_153720_100c,NASA Marine Debris,2017-10-15T15:37:20Z,filename_exact,18,30.0,-87.10012517620135,15.70209547181161,-86.44540705036115,16.29449182080267
nasa_planetscope_20180107_153415_1032,NASA_PlanetScope,20180107_153415_1032,NASA Marine Debris,2018-01-07T15:34:15Z,filename_exact,13,30.0,-85.62793386263698,15.70209547181161,-84.97326242642552,16.26281101651811
nasa_planetscope_20180224_153958_0f1b,NASA_PlanetScope,20180224_153958_0f1b,NASA Marine Debris,2018-02-24T15:39:58Z,filename_exact,24,30.0,-86.38677875244993,16.240036717788485,-85.75250347411257,16.821757831089872
nasa_planetscope_20180224_153959_0f1b,NASA_PlanetScope,20180224_153959_0f1b,NASA Marine Debris,2018-02-24T15:39:59Z,filename_exact,11,30.0,-86.43068463158465,16.213701493530767,-85.77451556372785,16.795428348986636
nasa_planetscope_20180224_162902_0f2b,NASA_PlanetScope,20180224_162902_0f2b,NASA Marine Debris,2018-02-24T16:29:02Z,filename_exact,33,30.0,-86.1395012250352,16.182094496299715,-85.4614509234023,16.758561043359435
nasa_planetscope_20180313_154258_1008,NASA_PlanetScope,20180313_154258_1008,NASA Marine Debris,2018-03-13T15:42:58Z,filename_exact,20,30.0,-86.78775740775541,16.213701493530767,-86.17549942818209,16.821757831089872
nasa_planetscope_20180313_154259_1008,NASA_PlanetScope,20180313_154259_1008,NASA Marine Debris,2018-03-13T15:42:59Z,filename_exact,27,30.0,-86.78215304916245,16.150482349408236,-86.18110378677505,16.74275861874831
nasa_planetscope_20180313_154300_1008,NASA_PlanetScope,20180313_154300_1008,NASA Marine Debris,2018-03-13T15:43:00Z,filename_exact,23,30.0,-86.88094720990502,16.087242641794415,-86.20865239946998,16.674266565819785
nasa_planetscope_20180313_154301_1008,NASA_PlanetScope,20180313_154301_1008,NASA Marine Debris,2018-03-13T15:43:01Z,filename_exact,8,30.0,-86.88640597218371,16.07670069623697,-86.29657742625379,16.637376236333147
nasa_planetscope_20180607_082852_1012,NASA_PlanetScope,20180607_082852_1012,NASA Marine Debris,2018-06-07T08:28:52Z,filename_exact,1,30.0,26.21725414897716,38.834692700323124,26.91812182758534,39.37854746847594
nasa_planetscope_20180919_155029_1044,NASA_PlanetScope,20180919_155029_1044,NASA Marine Debris,2018-09-19T15:50:29Z,filename_exact,12,30.0,-87.28191662799772,16.071429510090123,-86.52179430950228,16.67953604249511
nasa_planetscope_20180919_160750_1020,NASA_PlanetScope,20180919_160750_1020,NASA Marine Debris,2018-09-19T16:07:50Z,filename_exact,7,30.0,-88.33037334862885,15.548884853762235,-87.73652118262115,16.125469619116043
nasa_planetscope_20181022_155353_100a,NASA_PlanetScope,20181022_155353_100a,NASA Marine Debris,2018-10-22T15:53:53Z,filename_exact,21,30.0,-87.95701966034683,15.649277408865064,-87.31336608184067,16.27337184299868
nasa_planetscope_20181022_155659_101e,NASA_PlanetScope,20181022_155659_101e,NASA Marine Debris,2018-10-22T15:56:59Z,filename_exact,8,30.0,-88.55008641703952,15.548884853762235,-87.95076807514798,16.114901011390824
nasa_planetscope_20181023_155746_0f34,NASA_PlanetScope,20181023_155746_0f34,NASA Marine Debris,2018-10-23T15:57:46Z,filename_exact,5,30.0,-88.48983043725814,15.67040630326967,-87.83524280492936,16.236406510020547
nasa_planetscope_20181023_155747_0f34,NASA_PlanetScope,20181023_155747_0f34,NASA Marine Debris,2018-10-23T15:57:47Z,filename_exact,23,30.0,-88.57768078407254,15.58587740088132,-87.86274890342746,16.22056213442347
nasa_planetscope_20181024_160201_0f3b,NASA_PlanetScope,20181024_160201_0f3b,NASA Marine Debris,2018-10-24T16:02:01Z,filename_exact,3,30.0,-87.98996878019608,15.680969916188747,-87.39028024324142,16.241687690046334
nasa_planetscope_20181024_160202_0f3b,NASA_PlanetScope,20181024_160202_0f3b,NASA Marine Debris,2018-10-24T16:02:02Z,filename_exact,9,30.0,-88.1712654044532,15.696814291785826,-87.4506828377343,16.26281101651811
nasa_planetscope_20181031_095925_103b,NASA_PlanetScope,20181031_095925_103b,NASA Marine Debris,2018-10-31T09:59:25Z,filename_exact,23,30.0,-0.606123857414741,5.198567640563485,0.06230061522724106,5.776435783472247
nasa_planetscope_20181124_155713_1049,NASA_PlanetScope,20181124_155713_1049,NASA Marine Debris,2018-11-24T15:57:13Z,filename_exact,21,30.0,-88.20499590936336,16.218968825124712,-87.57625409063664,16.816492222142106
nasa_planetscope_20181124_155714_1049,NASA_PlanetScope,20181124_155714_1049,NASA Marine Debris,2018-11-24T15:57:14Z,filename_exact,15,30.0,-88.2160657510023,16.276900003907382,-87.5816637411852,16.890197645263697
nasa_planetscope_20181124_155715_1049,NASA_PlanetScope,20181124_155715_1049,NASA Marine Debris,2018-11-24T15:57:15Z,filename_exact,29,30.0,-88.24364127930568,16.361132466274725,-87.58704719725682,16.942827061256224
nasa_planetscope_20181124_155716_1049,NASA_PlanetScope,20181124_155716_1049,NASA Marine Debris,2018-11-24T15:57:16Z,filename_exact,9,30.0,-88.22175238805798,16.4032348430215,-87.63090874475452,17.005963250102578
nasa_planetscope_20181215_075902_103e,NASA_PlanetScope,20181215_075902_103e,NASA Marine Debris,2018-12-15T07:59:02Z,filename_exact,2,30.0,34.19758487233208,32.66052208995318,34.85148739329292,33.20933500789575
nasa_planetscope_20190418_074358_0f3c,NASA_PlanetScope,20190418_074358_0f3c,NASA Marine Debris,2019-04-18T07:43:58Z,filename_exact,1,30.0,26.21725414897716,38.834692700323124,26.91812182758534,39.37854746847594
ghana_drift_57bbff03-21eb-54de-9d18-d8a65b256bd5,Ghana_Drift,57bbff03-21eb-54de-9d18-d8a65b256bd5,Ghana,2018-10-20T09:57:56Z,planet_metadata,3,30.0,-0.47376111869291126,5.225793890882638,0.18101111869291123,5.810306109117362
ghana_drift_91ea9edc-67b4-4211-8532-35deec4a3148,Ghana_Drift,91ea9edc-67b4-4211-8532-35deec4a3148,Ghana,2018-10-31T09:58:47Z,planet_metadata,12,30.0,-1.0331626422487206,4.893513890882638,0.4087926422487206,5.958506109117362
ghana_drift_cd77705c-782d-5b99-935f-405bfd905cbf,Ghana_Drift,cd77705c-782d-5b99-935f-405bfd905cbf,Ghana,2018-10-26T10:00:00Z,nominal_10utc,15,30.0,0.06271566522881988,5.345193890882639,1.5059543347711801,6.216906109117362
ghana_drift_d918b4e9-16ac-5c30-830f-6945943e1d9e,Ghana_Drift,d918b4e9-16ac-5c30-830f-6945943e1d9e,Ghana,2018-10-27T10:00:00Z,nominal_10utc,6,30.0,-1.1242990069158756,4.849953890882638,-0.23240099308412443,5.615016109117362
ghana_drift_d9db6dd4-4db8-5723-96ba-57d182cda0b7,Ghana_Drift,d9db6dd4-4db8-5723-96ba-57d182cda0b7,Ghana,2018-10-28T09:48:45Z,planet_metadata,14,30.0,-1.1803313878794701,4.873413890882638,1.3519913878794703,6.150516109117362
greece_sentinel2_S2A_MSIL2A_20210701T085601_N0500_R007_T35SMD_20230222T113007,Greece_Sentinel2,S2A_MSIL2A_20210701T085601_N0500_R007_T35SMD_20230222T113007,Greece PLP,2021-07-01T08:56:01Z,product_name_exact,1,30.0,26.080745731343445,38.74289588343527,26.890336283855408,39.39742803281211
greece_sentinel2_S2B_MSIL1C_20210626T085559_N0500_R007_T35SMD_20230318T094507,Greece_Sentinel2,S2B_MSIL1C_20210626T085559_N0500_R007_T35SMD_20230318T094507,Greece PLP,2021-06-26T08:55:59Z,product_name_exact,1,30.0,26.080745731343445,38.74289588343527,26.890336283855408,39.39742803281211
greece_sentinel2_S2B_MSIL2A_20240630T085559_N0510_R007_T35SMD_20240630T105345,Greece_Sentinel2,S2B_MSIL2A_20240630T085559_N0510_R007_T35SMD_20240630T105345,Greece PLP,2024-06-30T08:55:59Z,product_name_exact,1,30.0,26.080745731343445,38.74289588343527,26.890336283855408,39.39742803281211
greece_sentinel2_S2A_MSIL2A_20240705T085601_N0510_R007_T35SMD_20240705T131959,Greece_Sentinel2,S2A_MSIL2A_20240705T085601_N0510_R007_T35SMD_20240705T131959,Greece PLP,2024-07-05T08:56:01Z,product_name_exact,1,30.0,26.080745731343445,38.74289588343527,26.890336283855408,39.39742803281211
jamila_floating_debris_accra_20181031,Jamila_Floating_Debris,accra_20181031,accra_20181031,2018-10-31T12:00:00Z,nominal,118,30.0,-0.5634425736658398,5.1881103975561675,0.7552701394192275,6.054294468055685
jamila_floating_debris_biscay_20180419,Jamila_Floating_Debris,biscay_20180419,biscay_20180419,2018-04-19T11:00:00Z,nominal,879,30.0,-2.5624417696388893,43.24243745009708,-1.259041158529437,44.51347328289935
jamila_floating_debris_danang_20181005,Jamila_Floating_Debris,danang_20181005,danang_20181005,2018-10-05T11:00:00Z,nominal,55,30.0,107.53799767215756,15.897603770373408,108.60481918951795,16.827199239832208
jamila_floating_debris_kentpointfarm_20180710,Jamila_Floating_Debris,kentpointfarm_20180710,kentpointfarm_20180710,2018-07-10T11:00:00Z,nominal,50,30.0,-76.6784017995868,38.528351298098556,-75.920765874987,39.16016057758789
jamila_floating_debris_kolkata_20201115,Jamila_Floating_Debris,kolkata_20201115,kolkata_20201115,2020-11-15T12:00:00Z,nominal,15,30.0,87.87638912004874,20.454192223867363,88.80523351427952,21.034074973927773
jamila_floating_debris_lagos_20190101,Jamila_Floating_Debris,lagos_20190101,lagos_20190101,2019-01-01T12:00:00Z,nominal,33,30.0,3.4424186785747706,6.051408079175023,4.215045295799187,6.656995584898281
jamila_floating_debris_lagos_20200505,Jamila_Floating_Debris,lagos_20200505,lagos_20200505,2020-05-05T11:00:00Z,nominal,169,30.0,2.7287621213232076,5.813958669402245,4.263339381384517,6.595717364916774
jamila_floating_debris_london_20180611,Jamila_Floating_Debris,london_20180611,london_20180611,2018-06-11T11:00:00Z,nominal,41,30.0,0.12839805253897096,51.118148290007184,1.1699298549125965,51.71514181666781
jamila_floating_debris_longxuyen_20181102,Jamila_Floating_Debris,longxuyen_20181102,longxuyen_20181102,2018-11-02T12:00:00Z,nominal,37,30.0,104.63647762998869,9.684865327309415,105.26990656687748,10.353027031306867
jamila_floating_debris_mandaluyong_20180314,Jamila_Floating_Debris,mandaluyong_20180314,mandaluyong_20180314,2018-03-14T12:00:00Z,nominal,13,30.0,120.29088255283926,14.183321430024677,121.16158363229276,15.00656014889414
jamila_floating_debris_neworleans_20200202,Jamila_Floating_Debris,neworleans_20200202,neworleans_20200202,2020-02-02T12:00:00Z,nominal,369,30.0,-89.39174656449161,29.510122421460625,-87.62389218879746,30.84222913242199
jamila_floating_debris_panama_20190425,Jamila_Floating_Debris,panama_20190425,panama_20190425,2019-04-25T11:00:00Z,nominal,182,30.0,-79.88581498270344,8.342106189986184,-79.2320547757028,9.072249915853359
jamila_floating_debris_portalfredSouthAfrica_20180601,Jamila_Floating_Debris,portalfredSouthAfrica_20180601,portalfredSouthAfrica_20180601,2018-06-01T11:00:00Z,nominal,16,30.0,26.687720568638046,-34.196140776716085,27.652368883507936,-33.22093818341919
