obs_id,source_dataset,source_group_id,role,candidate_count,selected_count,coverage_set_ratio,coverage_complete,reason
nasa_planetscope_20170326_153234_0e26,NASA_PlanetScope,20170326_153234_0e26,after,1,1,1.0,True,selected
nasa_planetscope_20170326_153239_0e26,NASA_PlanetScope,20170326_153239_0e26,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170326_153239_0e26,NASA_PlanetScope,20170326_153239_0e26,after,2,1,1.0,True,selected
nasa_planetscope_20170326_154021_0e2f,NASA_PlanetScope,20170326_154021_0e2f,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170326_154021_0e2f,NASA_PlanetScope,20170326_154021_0e2f,after,2,1,0.437707,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170826_154046_100c,NASA_PlanetScope,20170826_154046_100c,before,2,2,1.0,True,selected
nasa_planetscope_20170826_154046_100c,NASA_PlanetScope,20170826_154046_100c,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170826_154047_100c,NASA_PlanetScope,20170826_154047_100c,before,2,2,1.0,True,selected
nasa_planetscope_20170826_154047_100c,NASA_PlanetScope,20170826_154047_100c,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170927_154610_0e14,NASA_PlanetScope,20170927_154610_0e14,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170927_154610_0e14,NASA_PlanetScope,20170927_154610_0e14,after,2,1,1.0,True,selected
nasa_planetscope_20170927_154611_0e14,NASA_PlanetScope,20170927_154611_0e14,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170927_154611_0e14,NASA_PlanetScope,20170927_154611_0e14,after,2,1,1.0,True,selected
nasa_planetscope_20171007_161314_1,NASA_PlanetScope,20171007_161314_1,before,3,1,0.456913,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20171007_161314_1,NASA_PlanetScope,20171007_161314_1,after,1,1,1.0,True,selected
nasa_planetscope_20171007_161315_0c65,NASA_PlanetScope,20171007_161315_0c65,before,3,1,0.388247,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20171007_161315_0c65,NASA_PlanetScope,20171007_161315_0c65,after,1,1,1.0,True,selected
nasa_planetscope_20171015_153720_100c,NASA_PlanetScope,20171015_153720_100c,before,2,2,1.0,True,selected
nasa_planetscope_20171015_153720_100c,NASA_PlanetScope,20171015_153720_100c,after,2,1,1.0,True,selected
nasa_planetscope_20180107_153415_1032,NASA_PlanetScope,20180107_153415_1032,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180107_153415_1032,NASA_PlanetScope,20180107_153415_1032,after,1,1,0.526551,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180224_153958_0f1b,NASA_PlanetScope,20180224_153958_0f1b,before,2,2,0.791065,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180224_153958_0f1b,NASA_PlanetScope,20180224_153958_0f1b,after,1,1,1.0,True,selected
nasa_planetscope_20180224_153959_0f1b,NASA_PlanetScope,20180224_153959_0f1b,before,2,2,0.845925,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180224_153959_0f1b,NASA_PlanetScope,20180224_153959_0f1b,after,1,1,1.0,True,selected
nasa_planetscope_20180224_162902_0f2b,NASA_PlanetScope,20180224_162902_0f2b,before,2,2,0.321023,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180224_162902_0f2b,NASA_PlanetScope,20180224_162902_0f2b,after,1,1,1.0,True,selected
nasa_planetscope_20180313_154258_1008,NASA_PlanetScope,20180313_154258_1008,before,1,1,0.119582,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180313_154258_1008,NASA_PlanetScope,20180313_154258_1008,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180313_154259_1008,NASA_PlanetScope,20180313_154259_1008,before,1,1,0.102069,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180313_154259_1008,NASA_PlanetScope,20180313_154259_1008,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180313_154300_1008,NASA_PlanetScope,20180313_154300_1008,before,1,1,0.040221,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180313_154300_1008,NASA_PlanetScope,20180313_154300_1008,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180313_154301_1008,NASA_PlanetScope,20180313_154301_1008,before,1,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180313_154301_1008,NASA_PlanetScope,20180313_154301_1008,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180607_082852_1012,NASA_PlanetScope,20180607_082852_1012,before,4,1,1.0,True,selected
nasa_planetscope_20180607_082852_1012,NASA_PlanetScope,20180607_082852_1012,after,1,1,1.0,True,selected
nasa_planetscope_20180919_155029_1044,NASA_PlanetScope,20180919_155029_1044,before,1,1,1.0,True,selected
nasa_planetscope_20180919_155029_1044,NASA_PlanetScope,20180919_155029_1044,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180919_160750_1020,NASA_PlanetScope,20180919_160750_1020,before,3,1,0.878793,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20180919_160750_1020,NASA_PlanetScope,20180919_160750_1020,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181022_155353_100a,NASA_PlanetScope,20181022_155353_100a,before,2,2,1.0,True,selected
nasa_planetscope_20181022_155353_100a,NASA_PlanetScope,20181022_155353_100a,after,3,2,0.597313,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181022_155659_101e,NASA_PlanetScope,20181022_155659_101e,before,2,2,0.387946,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181022_155659_101e,NASA_PlanetScope,20181022_155659_101e,after,2,1,1.0,True,selected
nasa_planetscope_20181023_155746_0f34,NASA_PlanetScope,20181023_155746_0f34,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181023_155746_0f34,NASA_PlanetScope,20181023_155746_0f34,after,1,1,0.981881,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181023_155747_0f34,NASA_PlanetScope,20181023_155747_0f34,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181023_155747_0f34,NASA_PlanetScope,20181023_155747_0f34,after,2,1,1.0,True,selected
nasa_planetscope_20181024_160201_0f3b,NASA_PlanetScope,20181024_160201_0f3b,before,2,2,0.49165,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181024_160201_0f3b,NASA_PlanetScope,20181024_160201_0f3b,after,1,1,0.15991,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181024_160202_0f3b,NASA_PlanetScope,20181024_160202_0f3b,before,2,2,0.283428,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181024_160202_0f3b,NASA_PlanetScope,20181024_160202_0f3b,after,1,1,0.412514,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181031_095925_103b,NASA_PlanetScope,20181031_095925_103b,before,1,1,1.0,True,selected
nasa_planetscope_20181031_095925_103b,NASA_PlanetScope,20181031_095925_103b,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20181124_155713_1049,NASA_PlanetScope,20181124_155713_1049,before,1,1,1.0,True,selected
nasa_planetscope_20181124_155713_1049,NASA_PlanetScope,20181124_155713_1049,after,1,1,1.0,True,selected
nasa_planetscope_20181124_155714_1049,NASA_PlanetScope,20181124_155714_1049,before,2,1,1.0,True,selected
nasa_planetscope_20181124_155714_1049,NASA_PlanetScope,20181124_155714_1049,after,1,1,1.0,True,selected
nasa_planetscope_20181124_155715_1049,NASA_PlanetScope,20181124_155715_1049,before,2,1,1.0,True,selected
nasa_planetscope_20181124_155715_1049,NASA_PlanetScope,20181124_155715_1049,after,1,1,1.0,True,selected
nasa_planetscope_20181124_155716_1049,NASA_PlanetScope,20181124_155716_1049,before,2,1,1.0,True,selected
nasa_planetscope_20181124_155716_1049,NASA_PlanetScope,20181124_155716_1049,after,1,1,1.0,True,selected
nasa_planetscope_20181215_075902_103e,NASA_PlanetScope,20181215_075902_103e,before,6,1,1.0,True,selected
nasa_planetscope_20181215_075902_103e,NASA_PlanetScope,20181215_075902_103e,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20190418_074358_0f3c,NASA_PlanetScope,20190418_074358_0f3c,before,1,1,1.0,True,selected
nasa_planetscope_20190418_074358_0f3c,NASA_PlanetScope,20190418_074358_0f3c,after,4,1,1.0,True,selected
ghana_drift_57bbff03-21eb-54de-9d18-d8a65b256bd5,Ghana_Drift,57bbff03-21eb-54de-9d18-d8a65b256bd5,before,1,1,1.0,True,selected
ghana_drift_57bbff03-21eb-54de-9d18-d8a65b256bd5,Ghana_Drift,57bbff03-21eb-54de-9d18-d8a65b256bd5,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
ghana_drift_91ea9edc-67b4-4211-8532-35deec4a3148,Ghana_Drift,91ea9edc-67b4-4211-8532-35deec4a3148,before,1,1,1.0,True,selected
ghana_drift_91ea9edc-67b4-4211-8532-35deec4a3148,Ghana_Drift,91ea9edc-67b4-4211-8532-35deec4a3148,after,2,1,0.054196,False,no <=12h scene set reached 99.9% coverage
ghana_drift_cd77705c-782d-5b99-935f-405bfd905cbf,Ghana_Drift,cd77705c-782d-5b99-935f-405bfd905cbf,before,3,1,0.887624,False,no <=12h scene set reached 99.9% coverage
ghana_drift_cd77705c-782d-5b99-935f-405bfd905cbf,Ghana_Drift,cd77705c-782d-5b99-935f-405bfd905cbf,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
ghana_drift_d918b4e9-16ac-5c30-830f-6945943e1d9e,Ghana_Drift,d918b4e9-16ac-5c30-830f-6945943e1d9e,before,2,2,1.0,True,selected
ghana_drift_d918b4e9-16ac-5c30-830f-6945943e1d9e,Ghana_Drift,d918b4e9-16ac-5c30-830f-6945943e1d9e,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
