target_id,obs_id,source_dataset,source_group_id,area,date,reference_time,timestamp_source,role,selection_rank,granule_name,acquisition_start,delta_h,scene_coverage_ratio,coverage_set_ratio,coverage_complete,download_group_key,aoi_buffer_km
marida_18QYF_2020-12-14:before:01,marida_18QYF_2020-12-14,MARIDA,18QYF/2020-12-14,18QYF,2020-12-14,2020-12-14T15:26:41Z,catalogue,before,1,S1A_IW_SLC__1SDV_20201213T103905_20201213T103933_035666_042C30_CF3A.SAFE,2020-12-13T10:39:05Z,-28.793,0.195801,1.0,True,S1A_IW_SLC__1SDV_20201213T103905_20201213T103933_035666_042C30_CF3A,30.0
marida_18QYF_2020-12-14:before:02,marida_18QYF_2020-12-14,MARIDA,18QYF/2020-12-14,18QYF,2020-12-14,2020-12-14T15:26:41Z,catalogue,before,2,S1A_IW_SLC__1SDV_20201213T103930_20201213T103957_035666_042C30_A1B7.SAFE,2020-12-13T10:39:30Z,-28.786,0.992245,1.0,True,S1A_IW_SLC__1SDV_20201213T103930_20201213T103957_035666_042C30_A1B7,30.0
marida_18QYF_2020-12-14:after:01,marida_18QYF_2020-12-14,MARIDA,18QYF/2020-12-14,18QYF,2020-12-14,2020-12-14T15:26:41Z,catalogue,after,1,S1A_IW_SLC__1SDV_20201215T225303_20201215T225333_035703_042D7A_A0C6.SAFE,2020-12-15T22:53:03Z,31.439,0.264951,0.368585,False,S1A_IW_SLC__1SDV_20201215T225303_20201215T225333_035703_042D7A_A0C6,30.0
marida_18QYF_2020-12-14:after:02,marida_18QYF_2020-12-14,MARIDA,18QYF/2020-12-14,18QYF,2020-12-14,2020-12-14T15:26:41Z,catalogue,after,2,S1A_IW_SLC__1SDV_20201215T225331_20201215T225359_035703_042D7A_48AF.SAFE,2020-12-15T22:53:31Z,31.447,0.216344,0.368585,False,S1A_IW_SLC__1SDV_20201215T225331_20201215T225359_035703_042D7A_48AF,30.0
marida_18QYF_2020-03-14:after:01,marida_18QYF_2020-03-14,MARIDA,18QYF/2020-03-14,18QYF,2020-03-14,2020-03-14T15:26:39Z,catalogue,after,1,S1A_IW_SLC__1SDV_20200317T104723_20200317T104749_031714_03A834_028A.SAFE,2020-03-17T10:47:23Z,67.346,0.550657,0.550657,False,S1A_IW_SLC__1SDV_20200317T104723_20200317T104749_031714_03A834_028A,30.0
marida_16PCC_2018-09-14:before:01,marida_16PCC_2018-09-14,MARIDA,16PCC/2018-09-14,16PCC,2018-09-14,2018-09-14T16:09:01Z,catalogue,before,1,S1A_IW_SLC__1SDV_20180913T235823_20180913T235850_023687_0294FD_39CA.SAFE,2018-09-13T23:58:23Z,-16.177,0.402404,0.593051,False,S1A_IW_SLC__1SDV_20180913T235823_20180913T235850_023687_0294FD_39CA,30.0
marida_16PCC_2018-09-14:before:02,marida_16PCC_2018-09-14,MARIDA,16PCC/2018-09-14,16PCC,2018-09-14,2018-09-14T16:09:01Z,catalogue,before,2,S1A_IW_SLC__1SDV_20180913T235759_20180913T235826_023687_0294FD_ACFC.SAFE,2018-09-13T23:57:59Z,-16.184,0.288961,0.593051,False,S1A_IW_SLC__1SDV_20180913T235759_20180913T235826_023687_0294FD_ACFC,30.0
marida_18QYF_2020-10-15:before:01,marida_18QYF_2020-10-15,MARIDA,18QYF/2020-10-15,18QYF,2020-10-15,2020-10-15T15:26:51Z,catalogue,before,1,S1A_IW_SLC__1SDV_20201014T103932_20201014T103958_034791_040DF9_8703.SAFE,2020-10-14T10:39:32Z,-28.789,0.8567,0.959348,False,S1A_IW_SLC__1SDV_20201014T103932_20201014T103958_034791_040DF9_8703,30.0
marida_18QYF_2020-10-15:before:02,marida_18QYF_2020-10-15,MARIDA,18QYF/2020-10-15,18QYF,2020-10-15,2020-10-15T15:26:51Z,catalogue,before,2,S1A_IW_SLC__1SDV_20201014T103906_20201014T103934_034791_040DF9_21CE.SAFE,2020-10-14T10:39:06Z,-28.796,0.231664,0.959348,False,S1A_IW_SLC__1SDV_20201014T103906_20201014T103934_034791_040DF9_21CE,30.0
marida_18QYF_2020-10-15:after:01,marida_18QYF_2020-10-15,MARIDA,18QYF/2020-10-15,18QYF,2020-10-15,2020-10-15T15:26:51Z,catalogue,after,1,S1A_IW_SLC__1SDV_20201016T225305_20201016T225335_034828_040F41_7F35.SAFE,2020-10-16T22:53:05Z,31.437,0.213398,0.299523,False,S1A_IW_SLC__1SDV_20201016T225305_20201016T225335_034828_040F41_7F35,30.0
marida_18QYF_2020-10-15:after:02,marida_18QYF_2020-10-15,MARIDA,18QYF/2020-10-15,18QYF,2020-10-15,2020-10-15T15:26:51Z,catalogue,after,2,S1A_IW_SLC__1SDV_20201016T225332_20201016T225400_034828_040F41_9DC0.SAFE,2020-10-16T22:53:32Z,31.445,0.135817,0.299523,False,S1A_IW_SLC__1SDV_20201016T225332_20201016T225400_034828_040F41_9DC0,30.0
marida_16PCC_2020-11-15:before:01,marida_16PCC_2020-11-15,MARIDA,16PCC/2020-11-15,16PCC,2020-11-15,2020-11-15T16:25:41Z,catalogue,before,1,S1A_IW_SLC__1SDV_20201113T235837_20201113T235904_035237_041D66_087E.SAFE,2020-11-13T23:58:37Z,-40.451,0.00078,0.00078,False,S1A_IW_SLC__1SDV_20201113T235837_20201113T235904_035237_041D66_087E,30.0
marida_18QYF_2020-09-15:before:01,marida_18QYF_2020-09-15,MARIDA,18QYF/2020-09-15,18QYF,2020-09-15,2020-09-15T15:26:41Z,catalogue,before,1,S1A_IW_SLC__1SDV_20200913T104732_20200913T104758_034339_03FE0E_4769.SAFE,2020-09-13T10:47:32Z,-52.653,0.884533,0.884533,False,S1A_IW_SLC__1SDV_20200913T104732_20200913T104758_034339_03FE0E_4769,30.0
marida_18QYF_2020-09-15:after:01,marida_18QYF_2020-09-15,MARIDA,18QYF/2020-09-15,18QYF,2020-09-15,2020-09-15T15:26:41Z,catalogue,after,1,S1A_IW_SLC__1SDV_20200915T230129_20200915T230157_034376_03FF59_A9F7.SAFE,2020-09-15T23:01:29Z,7.58,1.0,1.0,True,S1A_IW_SLC__1SDV_20200915T230129_20200915T230157_034376_03FF59_A9F7,30.0
marida_16PEC_2018-02-16:before:01,marida_16PEC_2018-02-16,MARIDA,16PEC/2018-02-16,16PEC,2018-02-16,2018-02-16T16:13:41Z,catalogue,before,1,S1A_IW_SLC__1SDV_20180214T113706_20180214T113736_020602_02344F_F816.SAFE,2018-02-14T11:37:06Z,-52.61,0.8645,1.0,True,S1A_IW_SLC__1SDV_20180214T113706_20180214T113736_020602_02344F_F816,30.0
marida_16PEC_2018-02-16:before:02,marida_16PEC_2018-02-16,MARIDA,16PEC/2018-02-16,16PEC,2018-02-16,2018-02-16T16:13:41Z,catalogue,before,2,S1A_IW_SLC__1SDV_20180214T113734_20180214T113802_020602_02344F_9E31.SAFE,2018-02-14T11:37:34Z,-52.602,0.326971,1.0,True,S1A_IW_SLC__1SDV_20180214T113734_20180214T113802_020602_02344F_9E31,30.0
marida_16PEC_2018-02-16:after:01,marida_16PEC_2018-02-16,MARIDA,16PEC/2018-02-16,16PEC,2018-02-16,2018-02-16T16:13:41Z,catalogue,after,1,S1A_IW_SLC__1SDV_20180216T234943_20180216T235018_020639_023576_AC20.SAFE,2018-02-16T23:49:43Z,7.601,0.098112,0.098112,False,S1A_IW_SLC__1SDV_20180216T234943_20180216T235018_020639_023576_AC20,30.0
marida_51PTS_2016-07-17:before:01,marida_51PTS_2016-07-17,MARIDA,51PTS/2016-07-17,51PTS,2016-07-17,2016-07-17T02:16:12Z,catalogue,before,1,S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE.SAFE,2016-07-16T21:46:30Z,-4.495,1.0,1.0,True,S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE,30.0
marida_48PZC_2018-01-18:after:01,marida_48PZC_2018-01-18,MARIDA,48PZC/2018-01-18,48PZC,2018-01-18,2018-01-18T03:10:39Z,catalogue,after,1,S1A_IW_SLC__1SDV_20180118T224347_20180118T224415_020215_0227E8_C550.SAFE,2018-01-18T22:43:47Z,19.552,0.021401,0.021401,False,S1A_IW_SLC__1SDV_20180118T224347_20180118T224415_020215_0227E8_C550,30.0
marida_51PTS_2019-05-18:before:01,marida_51PTS_2019-05-18,MARIDA,51PTS/2019-05-18,51PTS,2019-05-18,2019-05-18T02:16:09Z,catalogue,before,1,S1B_IW_SLC__1SDV_20190516T100545_20190516T100611_016268_01E9DC_427C.SAFE,2019-05-16T10:05:45Z,-40.173,0.361493,1.0,True,S1B_IW_SLC__1SDV_20190516T100545_20190516T100611_016268_01E9DC_427C,30.0
marida_51PTS_2019-05-18:before:02,marida_51PTS_2019-05-18,MARIDA,51PTS/2019-05-18,51PTS,2019-05-18,2019-05-18T02:16:09Z,catalogue,before,2,S1B_IW_SLC__1SDV_20190516T100609_20190516T100636_016268_01E9DC_EE45.SAFE,2019-05-16T10:06:09Z,-40.167,0.884777,1.0,True,S1B_IW_SLC__1SDV_20190516T100609_20190516T100636_016268_01E9DC_EE45,30.0
marida_16PCC_2020-09-18:after:01,marida_16PCC_2020-09-18,MARIDA,16PCC/2020-09-18,16PCC,2020-09-18,2020-09-18T16:08:39Z,catalogue,after,1,S1A_IW_SLC__1SDV_20200920T000638_20200920T000705_034435_040179_CC76.SAFE,2020-09-20T00:06:38Z,31.966,0.838984,0.840186,False,S1A_IW_SLC__1SDV_20200920T000638_20200920T000705_034435_040179_CC76,30.0
marida_16PCC_2020-09-18:after:02,marida_16PCC_2020-09-18,MARIDA,16PCC/2020-09-18,16PCC,2020-09-18,2020-09-18T16:08:39Z,catalogue,after,2,S1A_IW_SLC__1SDV_20200920T000613_20200920T000640_034435_040179_A1C9.SAFE,2020-09-20T00:06:13Z,31.959,0.075414,0.840186,False,S1A_IW_SLC__1SDV_20200920T000613_20200920T000640_034435_040179_A1C9,30.0
marida_16PDC_2020-09-18:after:01,marida_16PDC_2020-09-18,MARIDA,16PDC/2020-09-18,16PDC,2020-09-18,2020-09-18T16:08:39Z,catalogue,after,1,S1A_IW_SLC__1SDV_20200919T113728_20200919T113758_034427_040131_30D5.SAFE,2020-09-19T11:37:28Z,19.48,0.30489,0.417091,False,S1A_IW_SLC__1SDV_20200919T113728_20200919T113758_034427_040131_30D5,30.0
marida_16PDC_2020-09-18:after:02,marida_16PDC_2020-09-18,MARIDA,16PDC/2020-09-18,16PDC,2020-09-18,2020-09-18T16:08:39Z,catalogue,after,2,S1A_IW_SLC__1SDV_20200919T113756_20200919T113824_034427_040131_9116.SAFE,2020-09-19T11:37:56Z,19.488,0.189036,0.417091,False,S1A_IW_SLC__1SDV_20200919T113756_20200919T113824_034427_040131_9116,30.0
marida_18QYF_2020-03-19:before:01,marida_18QYF_2020-03-19,MARIDA,18QYF/2020-03-19,18QYF,2020-03-19,2020-03-19T15:26:41Z,catalogue,before,1,S1A_IW_SLC__1SDV_20200317T104723_20200317T104749_031714_03A834_028A.SAFE,2020-03-17T10:47:23Z,-52.655,0.645838,0.645838,False,S1A_IW_SLC__1SDV_20200317T104723_20200317T104749_031714_03A834_028A,30.0
marida_18QYF_2020-03-19:after:01,marida_18QYF_2020-03-19,MARIDA,18QYF/2020-03-19,18QYF,2020-03-19,2020-03-19T15:26:41Z,catalogue,after,1,S1A_IW_SLC__1SDV_20200319T230120_20200319T230148_031751_03A974_084C.SAFE,2020-03-19T23:01:20Z,7.577,1.0,1.0,True,S1A_IW_SLC__1SDV_20200319T230120_20200319T230148_031751_03A974_084C,30.0
marida_16PCC_2018-09-19:before:01,marida_16PCC_2018-09-19,MARIDA,16PCC/2018-09-19,16PCC,2018-09-19,2018-09-19T16:09:29Z,catalogue,before,1,S1A_IW_SLC__1SDV_20180919T000625_20180919T000652_023760_029754_F408.SAFE,2018-09-19T00:06:25Z,-16.051,0.955869,0.966546,False,S1A_IW_SLC__1SDV_20180919T000625_20180919T000652_023760_029754_F408,30.0
marida_16PCC_2018-09-19:before:02,marida_16PCC_2018-09-19,MARIDA,16PCC/2018-09-19,16PCC,2018-09-19,2018-09-19T16:09:29Z,catalogue,before,2,S1A_IW_SLC__1SDV_20180919T000601_20180919T000627_023760_029754_88A3.SAFE,2018-09-19T00:06:01Z,-16.058,0.113468,0.966546,False,S1A_IW_SLC__1SDV_20180919T000601_20180919T000627_023760_029754_88A3,30.0
marida_16PDC_2018-09-19:before:01,marida_16PDC_2018-09-19,MARIDA,16PDC/2018-09-19,16PDC,2018-09-19,2018-09-19T16:09:29Z,catalogue,before,1,S1A_IW_SLC__1SDV_20180918T113716_20180918T113745_023752_02971C_2F2E.SAFE,2018-09-18T11:37:16Z,-28.537,0.41665,0.507364,False,S1A_IW_SLC__1SDV_20180918T113716_20180918T113745_023752_02971C_2F2E,30.0
marida_16PDC_2018-09-19:before:02,marida_16PDC_2018-09-19,MARIDA,16PDC/2018-09-19,16PDC,2018-09-19,2018-09-19T16:09:29Z,catalogue,before,2,S1A_IW_SLC__1SDV_20180918T113743_20180918T113811_023752_02971C_3C25.SAFE,2018-09-18T11:37:43Z,-28.529,0.200464,0.507364,False,S1A_IW_SLC__1SDV_20180918T113743_20180918T113811_023752_02971C_3C25,30.0
marida_18QYF_2020-10-20:before:01,marida_18QYF_2020-10-20,MARIDA,18QYF/2020-10-20,18QYF,2020-10-20,2020-10-20T15:26:39Z,catalogue,before,1,S1A_IW_SLC__1SDV_20201019T104732_20201019T104758_034864_041080_E7EA.SAFE,2020-10-19T10:47:32Z,-28.652,0.90456,0.90456,False,S1A_IW_SLC__1SDV_20201019T104732_20201019T104758_034864_041080_E7EA,30.0
marida_18QYF_2020-10-20:after:01,marida_18QYF_2020-10-20,MARIDA,18QYF/2020-10-20,18QYF,2020-10-20,2020-10-20T15:26:39Z,catalogue,after,1,S1A_IW_SLC__1SDV_20201021T230129_20201021T230157_034901_0411BE_0FC7.SAFE,2020-10-21T23:01:29Z,31.581,1.0,1.0,True,S1A_IW_SLC__1SDV_20201021T230129_20201021T230157_034901_0411BE_0FC7,30.0
marida_30VWH_2018-04-20:before:01,marida_30VWH_2018-04-20,MARIDA,30VWH/2018-04-20,30VWH,2018-04-20,2018-04-20T11:21:21Z,catalogue,before,1,S1B_IW_SLC__1SDV_20180419T175807_20180419T175834_010556_0133F9_F753.SAFE,2018-04-19T17:58:07Z,-17.387,1.0,1.0,True,S1B_IW_SLC__1SDV_20180419T175807_20180419T175834_010556_0133F9_F753,30.0
marida_30VWH_2018-04-20:after:01,marida_30VWH_2018-04-20,MARIDA,30VWH/2018-04-20,30VWH,2018-04-20,2018-04-20T11:21:21Z,catalogue,after,1,S1A_IW_SLC__1SDV_20180420T175048_20180420T175115_021554_02524F_11F3.SAFE,2018-04-20T17:50:48Z,6.491,1.0,1.0,True,S1A_IW_SLC__1SDV_20180420T175048_20180420T175115_021554_02524F_11F3,30.0
marida_16PCC_2017-02-21:before:01,marida_16PCC_2017-02-21,MARIDA,16PCC/2017-02-21,16PCC,2017-02-21,2017-02-21T16:13:41Z,catalogue,before,1,S1A_IW_SLC__1SDV_20170220T000609_20170220T000636_015360_019327_F5A3.SAFE,2017-02-20T00:06:09Z,-40.126,0.883077,0.883172,False,S1A_IW_SLC__1SDV_20170220T000609_20170220T000636_015360_019327_F5A3,30.0
marida_16PCC_2017-02-21:before:02,marida_16PCC_2017-02-21,MARIDA,16PCC/2017-02-21,16PCC,2017-02-21,2017-02-21T16:13:41Z,catalogue,before,2,S1A_IW_SLC__1SDV_20170220T000545_20170220T000612_015360_019327_0561.SAFE,2017-02-20T00:05:45Z,-40.132,0.05839,0.883172,False,S1A_IW_SLC__1SDV_20170220T000545_20170220T000612_015360_019327_0561,30.0
marida_16PCC_2017-02-21:after:01,marida_16PCC_2017-02-21,MARIDA,16PCC/2017-02-21,16PCC,2017-02-21,2017-02-21T16:13:41Z,catalogue,after,1,S1A_IW_SLC__1SDV_20170224T114518_20170224T114545_015425_019521_64D3.SAFE,2017-02-24T11:45:18Z,67.527,0.993101,1.0,True,S1A_IW_SLC__1SDV_20170224T114518_20170224T114545_015425_019521_64D3,30.0
marida_16PCC_2017-02-21:after:02,marida_16PCC_2017-02-21,MARIDA,16PCC/2017-02-21,16PCC,2017-02-21,2017-02-21T16:13:41Z,catalogue,after,2,S1A_IW_SLC__1SDV_20170224T114543_20170224T114610_015425_019521_2ED5.SAFE,2017-02-24T11:45:43Z,67.534,0.132447,1.0,True,S1A_IW_SLC__1SDV_20170224T114543_20170224T114610_015425_019521_2ED5,30.0
marida_16PCC_2018-02-21:before:01,marida_16PCC_2018-02-21,MARIDA,16PCC/2018-02-21,16PCC,2018-02-21,2018-02-21T16:13:39Z,catalogue,before,1,S1A_IW_SLC__1SDV_20180219T114524_20180219T114551_020675_0236A3_8FAB.SAFE,2018-02-19T11:45:24Z,-52.471,0.99581,1.0,True,S1A_IW_SLC__1SDV_20180219T114524_20180219T114551_020675_0236A3_8FAB,30.0
marida_16PCC_2018-02-21:before:02,marida_16PCC_2018-02-21,MARIDA,16PCC/2018-02-21,16PCC,2018-02-21,2018-02-21T16:13:39Z,catalogue,before,2,S1A_IW_SLC__1SDV_20180219T114549_20180219T114616_020675_0236A3_1819.SAFE,2018-02-19T11:45:49Z,-52.464,0.155029,1.0,True,S1A_IW_SLC__1SDV_20180219T114549_20180219T114616_020675_0236A3_1819,30.0
marida_16PCC_2018-02-21:after:01,marida_16PCC_2018-02-21,MARIDA,16PCC/2018-02-21,16PCC,2018-02-21,2018-02-21T16:13:39Z,catalogue,after,1,S1A_IW_SLC__1SDV_20180221T235749_20180221T235816_020712_0237C2_EF82.SAFE,2018-02-21T23:57:49Z,7.736,0.369544,0.500154,False,S1A_IW_SLC__1SDV_20180221T235749_20180221T235816_020712_0237C2_EF82,30.0
marida_16PCC_2018-02-21:after:02,marida_16PCC_2018-02-21,MARIDA,16PCC/2018-02-21,16PCC,2018-02-21,2018-02-21T16:13:39Z,catalogue,after,2,S1A_IW_SLC__1SDV_20180221T235814_20180221T235841_020712_0237C2_DAE6.SAFE,2018-02-21T23:58:14Z,7.743,0.234141,0.500154,False,S1A_IW_SLC__1SDV_20180221T235814_20180221T235841_020712_0237C2_DAE6,30.0
marida_18QYF_2020-12-22:before:01,marida_18QYF_2020-12-22,MARIDA,18QYF/2020-12-22,18QYF,2020-12-22,2020-12-22T15:36:19Z,catalogue,before,1,S1A_IW_SLC__1SDV_20201220T230128_20201220T230156_035776_042FF7_E623.SAFE,2020-12-20T23:01:28Z,-40.581,1.0,1.0,True,S1A_IW_SLC__1SDV_20201220T230128_20201220T230156_035776_042FF7_E623,30.0
marida_18QYF_2020-12-22:after:01,marida_18QYF_2020-12-22,MARIDA,18QYF/2020-12-22,18QYF,2020-12-22,2020-12-22T15:36:19Z,catalogue,after,1,S1A_IW_SLC__1SDV_20201225T103930_20201225T103956_035841_043237_6950.SAFE,2020-12-25T10:39:30Z,67.053,0.223003,0.337247,False,S1A_IW_SLC__1SDV_20201225T103930_20201225T103956_035841_043237_6950,30.0
marida_18QYF_2020-12-22:after:02,marida_18QYF_2020-12-22,MARIDA,18QYF/2020-12-22,18QYF,2020-12-22,2020-12-22T15:36:19Z,catalogue,after,2,S1A_IW_SLC__1SDV_20201225T103904_20201225T103932_035841_043237_4F0C.SAFE,2020-12-25T10:39:04Z,67.046,0.217354,0.337247,False,S1A_IW_SLC__1SDV_20201225T103904_20201225T103932_035841_043237_4F0C,30.0
marida_18QWF_2020-03-22:before:01,marida_18QWF_2020-03-22,MARIDA,18QWF/2020-03-22,18QWF,2020-03-22,2020-03-22T15:36:21Z,catalogue,before,1,S1A_IW_SLC__1SDV_20200319T230120_20200319T230148_031751_03A974_084C.SAFE,2020-03-19T23:01:20Z,-64.584,0.528954,0.528954,False,S1A_IW_SLC__1SDV_20200319T230120_20200319T230148_031751_03A974_084C,30.0
marida_18QWF_2020-03-22:after:01,marida_18QWF_2020-03-22,MARIDA,18QWF/2020-03-22,18QWF,2020-03-22,2020-03-22T15:36:21Z,catalogue,after,1,S1A_IW_SLC__1SDV_20200324T230918_20200324T230945_031824_03AC13_825A.SAFE,2020-03-24T23:09:18Z,55.549,1.0,1.0,True,S1A_IW_SLC__1SDV_20200324T230918_20200324T230945_031824_03AC13_825A,30.0
marida_18QYF_2021-01-23:before:01,marida_18QYF_2021-01-23,MARIDA,18QYF/2021-01-23,18QYF,2021-01-23,2021-01-23T15:26:41Z,catalogue,before,1,S1A_IW_SLC__1SDV_20210123T104729_20210123T104755_036264_0440FD_9D34.SAFE,2021-01-23T10:47:29Z,-4.653,1.0,1.0,True,S1A_IW_SLC__1SDV_20210123T104729_20210123T104755_036264_0440FD_9D34,30.0
marida_18QYF_2021-01-23:after:01,marida_18QYF_2021-01-23,MARIDA,18QYF/2021-01-23,18QYF,2021-01-23,2021-01-23T15:26:41Z,catalogue,after,1,S1A_IW_SLC__1SDV_20210125T230126_20210125T230154_036301_04424B_8308.SAFE,2021-01-25T23:01:26Z,55.579,1.0,1.0,True,S1A_IW_SLC__1SDV_20210125T230126_20210125T230154_036301_04424B_8308,30.0
marida_16PCC_2020-09-23:after:01,marida_16PCC_2020-09-23,MARIDA,16PCC/2020-09-23,16PCC,2020-09-23,2020-09-23T16:10:11Z,catalogue,after,1,S1A_IW_SLC__1SDV_20200924T114547_20200924T114614_034500_0403CA_C05B.SAFE,2020-09-24T11:45:47Z,19.593,0.962114,1.0,True,S1A_IW_SLC__1SDV_20200924T114547_20200924T114614_034500_0403CA_C05B,30.0
marida_16PCC_2020-09-23:after:02,marida_16PCC_2020-09-23,MARIDA,16PCC/2020-09-23,16PCC,2020-09-23,2020-09-23T16:10:11Z,catalogue,after,2,S1A_IW_SLC__1SDV_20200924T114611_20200924T114638_034500_0403CA_2C6A.SAFE,2020-09-24T11:46:11Z,19.6,0.163711,1.0,True,S1A_IW_SLC__1SDV_20200924T114611_20200924T114638_034500_0403CA_2C6A,30.0
