scene_id,acquired_utc,centroid_lon,centroid_lat,bbox_wgs84,tif_tile_count,jpg_tile_count,example_tif,item_metadata_curl,item_assets_curl
20170326_153239_0e26,2017-03-26T15:32:39Z,-86.473217,16.023374,"-86.506348, 15.982454, -86.434937, 16.066929",32,32,20170326_153239_0e26_17020-29814-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170326_153239_0e26""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170326_153239_0e26/assets"""
20170326_154021_0e2f,2017-03-26T15:40:21Z,-87.954792,16.586183,"-88.033447, 16.562493, -87.857666, 16.609874",33,33,20170326_154021_0e2f_16742-29701-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170326_154021_0e2f""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170326_154021_0e2f/assets"""
20170826_154046_100c,2017-08-26T15:40:46Z,-87.878952,16.124984,"-87.885132, 16.109153, -87.868652, 16.140816",8,8,20170826_154046_100c_16769-29790-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170826_154046_100c""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170826_154046_100c/assets"""
20170826_154047_100c,2017-08-26T15:40:47Z,-87.870614,16.108022,"-87.879639, 16.098598, -87.857666, 16.114431",7,7,20170826_154047_100c_16770-29795-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170826_154047_100c""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170826_154047_100c/assets"""
20170927_154610_0e14,2017-09-27T15:46:10Z,-88.065105,15.877501,"-88.082886, 15.845105, -88.033447, 15.919074",19,19,20170927_154610_0e14_16733-29833-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170927_154610_0e14""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170927_154610_0e14/assets"""
20170927_154611_0e14,2017-09-27T15:46:11Z,-88.071442,15.828808,"-88.093872, 15.802825, -88.022461, 15.855674",12,12,20170927_154611_0e14_16731-29851-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170927_154611_0e14""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170927_154611_0e14/assets"""
20171007_161314_1_0c65,2017-10-07T16:13:14Z,-87.863159,16.074847,"-87.879639, 16.072207, -87.846680, 16.077486",6,6,20171007_161314_1_0c65_16770-29802-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20171007_161314_1_0c65""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20171007_161314_1_0c65/assets"""
20171007_161315_0c65,2017-10-07T16:13:15Z,-87.8302,16.077486,"-87.857666, 16.072207, -87.797241, 16.082764",12,12,20171007_161315_0c65_16774-29802-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20171007_161315_0c65""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20171007_161315_0c65/assets"""
20171015_153720_100c,2017-10-15T15:37:20Z,-86.786195,15.998881,"-86.819458, 15.971892, -86.726074, 16.024696",18,18,20171015_153720_100c_16963-29820-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20171015_153720_100c""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20171015_153720_100c/assets"""
20180107_153415_1032,2018-01-07T15:34:15Z,-85.296794,15.98225,"-85.347290, 15.971892, -85.253906, 15.993015",13,13,20180107_153415_1032_17231-29818-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180107_153415_1032""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180107_153415_1032/assets"""
20180224_153958_0f1b,2018-02-24T15:39:58Z,-86.062317,16.533311,"-86.105347, 16.509833, -86.033936, 16.551962",24,24,20180224_153958_0f1b_17093-29716-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180224_153958_0f1b""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180224_153958_0f1b/assets"""
20180224_153959_0f1b,2018-02-24T15:39:59Z,-86.088119,16.506241,"-86.149292, 16.483498, -86.055908, 16.525632",11,11,20180224_153959_0f1b_17085-29724-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180224_153959_0f1b""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180224_153959_0f1b/assets"""
20180224_162902_0f2b,2018-02-24T16:29:02Z,-85.796315,16.474798,"-85.858154, 16.451891, -85.742798, 16.488765",33,33,20180224_162902_0f2b_17138-29730-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180224_162902_0f2b""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180224_162902_0f2b/assets"""
20180313_154258_1008,2018-03-13T15:42:58Z,-86.484924,16.517994,"-86.506348, 16.483498, -86.456909, 16.551962",20,20,20180313_154258_1008_17020-29712-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180313_154258_1008""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180313_154258_1008/assets"""
20180313_154259_1008,2018-03-13T15:42:59Z,-86.482442,16.44145,"-86.500854, 16.420278, -86.462402, 16.472963",27,27,20180313_154259_1008_17021-29735-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180313_154259_1008""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180313_154259_1008/assets"""
20180313_154300_1008,2018-03-13T15:43:00Z,-86.539189,16.384192,"-86.599731, 16.357039, -86.489868, 16.404470",23,23,20180313_154300_1008_17003-29747-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180313_154300_1008""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180313_154300_1008/assets"""
20180313_154301_1008,2018-03-13T15:43:01Z,-86.592865,16.360333,"-86.605225, 16.346497, -86.577759, 16.367580",8,8,20180313_154301_1008_17002-29750-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180313_154301_1008""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180313_154301_1008/assets"""
20180607_082852_1012,2018-06-07T08:28:52Z,26.567688,39.10662,"26.564941, 39.104489, 26.570435, 39.108751",1,1,20180607_082852_1012_37604-25021-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180607_082852_1012""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180607_082852_1012/assets"""
20180919_155029_1044,2018-09-19T15:50:29Z,-86.849206,16.362306,"-87.000732, 16.341226, -86.802979, 16.409740",12,12,20180919_155029_1044_16930-29739-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180919_155029_1044""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180919_155029_1044/assets"""
20180919_160750_1020,2018-09-19T16:07:50Z,-88.033055,15.840952,"-88.049927, 15.818681, -88.016968, 15.855674",7,7,20180919_160750_1020_16739-29849-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180919_160750_1020""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20180919_160750_1020/assets"""
20181022_155353_100a,2018-10-22T15:53:53Z,-87.643562,15.971008,"-87.676392, 15.919074, -87.593994, 16.003576",21,21,20181022_155353_100a_16807-29816-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181022_155353_100a""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181022_155353_100a/assets"""
20181022_155659_101e,2018-10-22T15:56:59Z,-88.249741,15.831232,"-88.269653, 15.818681, -88.231201, 15.845105",8,8,20181022_155659_101e_16699-29850-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181022_155659_101e""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181022_155659_101e/assets"""
20181023_155746_0f34,2018-10-23T15:57:46Z,-88.165834,15.95235,"-88.209229, 15.940202, -88.115845, 15.966610",5,5,20181023_155746_0f34_16710-29826-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181023_155746_0f34""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181023_155746_0f34/assets"""
20181023_155747_0f34,2018-10-23T15:57:47Z,-88.198836,15.923549,"-88.297119, 15.855674, -88.143311, 15.950766",23,23,20181023_155747_0f34_16694-29829-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181023_155747_0f34""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181023_155747_0f34/assets"""
20181024_160201_0f3b,2018-10-24T16:02:01Z,-87.693786,15.963969,"-87.709351, 15.950766, -87.670898, 15.971892",3,3,20181024_160201_0f3b_16801-29822-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181024_160201_0f3b""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181024_160201_0f3b/assets"""
20181024_160202_0f3b,2018-10-24T16:02:02Z,-87.815248,15.979813,"-87.890625, 15.966610, -87.731323, 15.993015",9,9,20181024_160202_0f3b_16768-29820-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181024_160202_0f3b""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181024_160202_0f3b/assets"""
20181031_095925_103b,2018-10-31T09:59:25Z,-0.275972,5.493208,"-0.335083, 5.468364, -0.208740, 5.506640",23,23,20181031_095925_103b_32707-31767-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181031_095925_103b""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181031_095925_103b/assets"""
20181124_155713_1049,2018-11-24T15:57:13Z,-87.889448,16.519486,"-87.923584, 16.488765, -87.857666, 16.546696",21,21,20181124_155713_1049_16762-29718-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181124_155713_1049""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181124_155713_1049/assets"""
20181124_155714_1049,2018-11-24T15:57:14Z,-87.898867,16.576704,"-87.934570, 16.546696, -87.863159, 16.620402",15,15,20181124_155714_1049_16760-29707-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181124_155714_1049""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181124_155714_1049/assets"""
20181124_155715_1049,2018-11-24T15:57:15Z,-87.920269,16.651527,"-87.962036, 16.630929, -87.868652, 16.673031",29,29,20181124_155715_1049_16755-29689-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181124_155715_1049""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181124_155715_1049/assets"""
20181124_155716_1049,2018-11-24T15:57:16Z,-87.929992,16.708398,"-87.940063, 16.673031, -87.912598, 16.736167",9,9,20181124_155716_1049_16759-29677-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181124_155716_1049""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181124_155716_1049/assets"""
20181215_075902_103e,2018-12-15T07:59:02Z,34.524536,32.934929,"34.519043, 32.930318, 34.530029, 32.939539",2,2,20181215_075902_103e_39052-26411-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181215_075902_103e""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20181215_075902_103e/assets"""
20190418_074358_0f3c,2019-04-18T07:43:58Z,26.567688,39.10662,"26.564941, 39.104489, 26.570435, 39.108751",1,1,20190418_074358_0f3c_37604-25021-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20190418_074358_0f3c""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20190418_074358_0f3c/assets"""
