planet_scene,planet_datetime_utc,training_tiles,aoi_bbox_wgs84,s1_product_name,s1_datetime_utc,delta_t_hours,abs_delta_t_hours
20170927_154611_0e14,2017-09-27T15:46:11Z,12,"-88.093872, 15.802825, -88.022461, 15.855674",S1A_IW_GRDH_1SDV_20170924T000620_20170924T000645_018510_01F303_4C0F,2017-09-24T00:06:32Z,-87.660623,87.660623
20171007_161314_1_0c65,2017-10-07T16:13:14Z,6,"-87.879639, 16.072207, -87.846680, 16.077486",S1A_IW_GRDH_1SDV_20171010T114528_20171010T114553_018750_01FA56_BD40,2017-10-10T11:45:41Z,+67.540947,67.540947
20171007_161315_0c65,2017-10-07T16:13:15Z,12,"-87.857666, 16.072207, -87.797241, 16.082764",S1A_IW_GRDH_1SDV_20171010T114528_20171010T114553_018750_01FA56_BD40,2017-10-10T11:45:41Z,+67.540670,67.540670
20171015_153720_100c,2017-10-15T15:37:20Z,18,"-86.819458, 15.971892, -86.726074, 16.024696",S1A_IW_GRDH_1SDV_20171017T113710_20171017T113739_018852_01FD74_D3F7,2017-10-17T11:37:24Z,+44.001252,44.001252
20180107_153415_1032,2018-01-07T15:34:15Z,13,"-85.347290, 15.971892, -85.253906, 15.993015",S1A_IW_GRDH_1SDV_20180109T113707_20180109T113736_020077_022393_BA3E,2018-01-09T11:37:22Z,+44.052019,44.052019
20180224_153958_0f1b,2018-02-24T15:39:58Z,24,"-86.105347, 16.509833, -86.033936, 16.551962",S1A_IW_GRDH_1SDV_20180226T113706_20180226T113735_020777_0239E5_9E46,2018-02-26T11:37:21Z,+43.956463,43.956463
20180224_153959_0f1b,2018-02-24T15:39:59Z,11,"-86.149292, 16.483498, -86.055908, 16.525632",S1A_IW_GRDH_1SDV_20180226T113706_20180226T113735_020777_0239E5_9E46,2018-02-26T11:37:21Z,+43.956186,43.956186
20180224_162902_0f2b,2018-02-24T16:29:02Z,33,"-85.858154, 16.451891, -85.742798, 16.488765",S1A_IW_GRDH_1SDV_20180226T113706_20180226T113735_020777_0239E5_9E46,2018-02-26T11:37:21Z,+43.138686,43.138686
20180313_154258_1008,2018-03-13T15:42:58Z,20,"-86.506348, 16.483498, -86.456909, 16.551962",S1A_IW_GRDH_1SDV_20180310T113706_20180310T113735_020952_023F65_22AC,2018-03-10T11:37:21Z,-76.093544,76.093544
20180313_154259_1008,2018-03-13T15:42:59Z,27,"-86.500854, 16.420278, -86.462402, 16.472963",S1A_IW_GRDH_1SDV_20180310T113706_20180310T113735_020952_023F65_22AC,2018-03-10T11:37:21Z,-76.093822,76.093822
20180313_154300_1008,2018-03-13T15:43:00Z,23,"-86.599731, 16.357039, -86.489868, 16.404470",S1A_IW_GRDH_1SDV_20180310T113706_20180310T113735_020952_023F65_22AC,2018-03-10T11:37:21Z,-76.094099,76.094099
20180313_154301_1008,2018-03-13T15:43:01Z,8,"-86.605225, 16.346497, -86.577759, 16.367580",S1A_IW_GRDH_1SDV_20180310T113706_20180310T113735_020952_023F65_22AC,2018-03-10T11:37:21Z,-76.094377,76.094377
20180607_082852_1012,2018-06-07T08:28:52Z,1,"26.564941, 39.104489, 26.570435, 39.108751",S1B_IW_GRDH_1SDV_20180607T041421_20180607T041446_011262_014ABB_4A0A,2018-06-07T04:14:34Z,-4.238304,4.238304
20180919_155029_1044,2018-09-19T15:50:29Z,12,"-87.000732, 16.341226, -86.802979, 16.409740",S1A_IW_GRDH_1SDV_20180918T113716_20180918T113745_023752_02971C_C718,2018-09-18T11:37:30Z,-28.216215,28.216215
20180919_160750_1020,2018-09-19T16:07:50Z,7,"-88.049927, 15.818681, -88.016968, 15.855674",S1A_IW_GRDH_1SDV_20180919T000626_20180919T000651_023760_029754_FD6F,2018-09-19T00:06:39Z,-16.019612,16.019612
20181022_155353_100a,2018-10-22T15:53:53Z,21,"-87.676392, 15.919074, -87.593994, 16.003576",S1A_IW_GRDH_1SDV_20181024T113716_20181024T113745_024277_02A836_D2DF,2018-10-24T11:37:31Z,+43.727259,43.727259
20181022_155659_101e,2018-10-22T15:56:59Z,8,"-88.269653, 15.818681, -88.231201, 15.845105",S1A_IW_GRDH_1SDV_20181025T000627_20181025T000652_024285_02A86D_4A18,2018-10-25T00:06:39Z,+56.161344,56.161344
20181023_155746_0f34,2018-10-23T15:57:46Z,5,"-88.209229, 15.940202, -88.115845, 15.966610",S1A_IW_GRDH_1SDV_20181025T000627_20181025T000652_024285_02A86D_4A18,2018-10-25T00:06:39Z,+32.148289,32.148289
20181023_155747_0f34,2018-10-23T15:57:47Z,23,"-88.297119, 15.855674, -88.143311, 15.950766",S1A_IW_GRDH_1SDV_20181025T000627_20181025T000652_024285_02A86D_4A18,2018-10-25T00:06:39Z,+32.148011,32.148011
20181024_160201_0f3b,2018-10-24T16:02:01Z,3,"-87.709351, 15.950766, -87.670898, 15.971892",S1A_IW_GRDH_1SDV_20181024T113716_20181024T113745_024277_02A836_D2DF,2018-10-24T11:37:31Z,-4.408297,4.408297
20181024_160202_0f3b,2018-10-24T16:02:02Z,9,"-87.890625, 15.966610, -87.731323, 15.993015",S1A_IW_GRDH_1SDV_20181019T235825_20181019T235850_024212_02A61B_0172,2018-10-19T23:58:38Z,-112.056544,112.056544
20181031_095925_103b,2018-10-31T09:59:25Z,23,"-0.335083, 5.468364, -0.208740, 5.506640",S1B_IW_GRDH_1SDV_20181105T181718_20181105T181743_013473_018EDC_BAB0,2018-11-05T18:17:30Z,+128.301663,128.301663
20181124_155713_1049,2018-11-24T15:57:13Z,21,"-87.923584, 16.488765, -87.857666, 16.546696",S1A_IW_GRDH_1SDV_20181124T235825_20181124T235850_024737_02B8A0_EF54,2018-11-24T23:58:37Z,+8.023524,8.023524
20181124_155714_1049,2018-11-24T15:57:14Z,15,"-87.934570, 16.546696, -87.863159, 16.620402",S1A_IW_GRDH_1SDV_20181124T235825_20181124T235850_024737_02B8A0_EF54,2018-11-24T23:58:37Z,+8.023246,8.023246
20181124_155715_1049,2018-11-24T15:57:15Z,29,"-87.962036, 16.630929, -87.868652, 16.673031",S1A_IW_GRDH_1SDV_20181124T235825_20181124T235850_024737_02B8A0_EF54,2018-11-24T23:58:37Z,+8.022968,8.022968
20181124_155716_1049,2018-11-24T15:57:16Z,9,"-87.940063, 16.673031, -87.912598, 16.736167",S1A_IW_GRDH_1SDV_20181124T235825_20181124T235850_024737_02B8A0_EF54,2018-11-24T23:58:37Z,+8.022691,8.022691
20181215_075902_103e,2018-12-15T07:59:02Z,2,"34.519043, 32.930318, 34.530029, 32.939539",S1A_IW_GRDH_1SDV_20181214T034349_20181214T034414_025016_02C244_3879,2018-12-14T03:44:01Z,-28.250054,28.250054
20190418_074358_0f3c,2019-04-18T07:43:58Z,1,"26.564941, 39.104489, 26.570435, 39.108751",S1B_IW_GRDH_1SDV_20190420T042231_20190420T042256_015885_01DD76_99C5,2019-04-20T04:22:44Z,+44.646178,44.646178
